off_team,def_team,play_type,location,depth_bucket,off_epa_per_att,def_epa_allowed_per_play,edge_off_minus_def,off_pass_attempts,def_pass_att_allowed
CHI,GB,pass,middle,deep,0.13742857142857143,-1.450892705606144,1.5883212770347155,7,3.0
CHI,GB,pass,right,short,0.009000000000000001,-0.1832754037099375,0.1922754037099375,38,64.0
CHI,GB,pass,right,medium,0.05890909090909091,0.9846187897619525,-0.9257096988528616,11,16.0
CHI,GB,pass,right,deep,-0.019125,0.163610075737124,-0.182735075737124,16,9.0
GB,CHI,pass,left,short,0.004942857142857142,-0.2009532218184829,0.20589607896134005,35,48.0
GB,CHI,pass,left,medium,0.01975,0.620700529765641,-0.600950529765641,12,11.0
GB,CHI,pass,left,deep,0.0749,1.339821263418764,-1.264921263418764,10,7.0
GB,CHI,pass,middle,short,0.06461538461538462,0.07714146698030641,-0.012526082364921795,13,23.0
GB,CHI,pass,middle,medium,0.1516,-0.09374043068124141,0.24534043068124142,10,15.0
GB,CHI,pass,middle,deep,0.05533333333333333,3.077191186331523,-3.0218578529981897,9,3.0
GB,CHI,pass,right,short,0.012419354838709677,0.1378624794855405,-0.12544312464683083,31,46.0
GB,CHI,pass,right,medium,0.064,-1.18878834890711,1.25278834890711,13,8.0
GB,CHI,pass,right,deep,0.0242,0.2844262995873579,-0.2602262995873579,5,10.0
HOU,PIT,pass,left,short,0.0040465116279069764,0.02583227593612905,-0.021785764308222075,43,65.0
HOU,PIT,pass,left,medium,0.03669230769230769,-0.1350877962631016,0.1717801039554093,13,21.0
HOU,PIT,pass,left,deep,0.1375,0.1629146968625713,-0.02541469686257128,10,8.0
HOU,PIT,pass,middle,short,-0.006733333333333333,0.02949627116837427,-0.036229604501707605,15,53.0
HOU,PIT,pass,middle,medium,0.030714285714285715,1.184973280348156,-1.1542589946338704,14,24.0
HOU,PIT,pass,middle,deep,-2.598,0.9618868277320874,-3.5598868277320874,1,4.0
HOU,PIT,pass,right,short,0.0010208333333333334,0.191693940177093,-0.19067310684375965,48,46.0
HOU,PIT,pass,right,medium,-0.027083333333333334,0.3103687429484821,-0.33745207628181545,12,9.0
HOU,PIT,pass,right,deep,-0.007538461538461539,1.572341920114316,-1.5798803816527776,13,6.0
JAX,BUF,pass,left,short,-0.00015789473684210527,0.1742208532835699,-0.174378748020412,38,41.0
JAX,BUF,pass,left,medium,0.02346875,0.2255249087020806,-0.2020561587020806,32,17.0
JAX,BUF,pass,left,deep,-0.0110625,0.2015449734947954,-0.2126074734947954,16,3.0
JAX,BUF,pass,middle,short,-0.00036666666666666667,-0.599659096195995,0.5992924295293284,30,14.0
JAX,BUF,pass,middle,medium,-0.027375,0.4013062612230162,-0.4286812612230162,16,8.0
JAX,BUF,pass,middle,deep,0.07339999999999999,0.4045881300262427,-0.3311881300262427,5,4.0
JAX,BUF,pass,right,short,-0.00025,-0.007741757891753452,0.007491757891753451,44,54.0
JAX,BUF,pass,right,medium,0.004,0.6525214305908713,-0.6485214305908713,15,13.0
JAX,BUF,pass,right,deep,0.06533333333333333,0.070678724658633,-0.005345391325299667,9,11.0
LAC,NE,pass,left,short,0.009486486486486485,0.2332452936589943,-0.22375880717250782,37,58.0
LAC,NE,pass,left,medium,0.0054444444444444445,0.3191205176408398,-0.3136760731963954,18,16.0
LAC,NE,pass,left,deep,0.049416666666666664,0.0916403758366453,-0.04222370916997864,12,13.0
LAC,NE,pass,middle,short,0.00155,0.04134525703425,-0.03979525703425,40,33.0
LAC,NE,pass,middle,medium,0.03675,0.8113065991468932,-0.7745565991468932,16,12.0
LAC,NE,pass,middle,deep,-0.0034000000000000002,0.4919784163357669,-0.4953784163357669,5,2.0
LAC,NE,pass,right,short,0.0016410256410256412,0.04178734603474706,-0.04014632039372142,78,56.0
LAC,NE,pass,right,medium,0.028449999999999996,0.6695690245226906,-0.6411190245226907,20,12.0
LAC,NE,pass,right,deep,0.0003076923076923077,0.8589463466599845,-0.8586386543522921,13,13.0
NE,LAC,pass,left,short,0.006823529411764707,0.006106202555259072,0.0007173268565056345,34,58.0
NE,LAC,pass,left,medium,0.04515,-0.2837014196751027,0.32885141967510273,20,9.0
NE,LAC,pass,left,deep,0.1459,1.807831505301045,-1.661931505301045,10,7.0
NE,LAC,pass,middle,short,0.015227272727272728,0.3959373973980815,-0.3807101246708088,22,28.0
NE,LAC,pass,middle,medium,0.12175000000000001,0.1241072510227757,-0.0023572510227756888,12,14.0
NE,LAC,pass,middle,deep,0.4545,0.4241151522379379,0.030384847762062128,4,5.0
NE,LAC,pass,right,short,0.006911111111111111,-0.04118323545355579,0.0480943465646669,45,64.0
NE,LAC,pass,right,medium,0.020133333333333333,0.4284724620922427,-0.4083391287589094,15,21.0
NE,LAC,pass,right,deep,0.1962857142857143,-0.5015935396610683,0.6978792539467826,7,12.0
PHI,SF,pass,left,short,-0.002063829787234043,-0.1537107955443533,0.15164696575711925,47,56.0
PHI,SF,pass,left,medium,0.05657142857142857,0.4919183876532457,-0.43534695908181714,14,23.0
PHI,SF,pass,left,deep,0.044076923076923076,0.2569129256709647,-0.21283600259404162,13,17.0
PHI,SF,pass,middle,short,0.017615384615384616,0.126016602083447,-0.10840121746806239,13,22.0
PHI,SF,pass,middle,medium,-0.0112,1.015652276593475,-1.026852276593475,5,13.0
PHI,SF,pass,middle,deep,0.3791428571428571,2.250127932289616,-1.8709850751467592,7,5.0
PHI,SF,pass,right,short,0.0018571428571428571,-0.1331281950912782,0.13498533794842107,49,64.0
PHI,SF,pass,right,medium,-0.013500000000000002,0.1026594938535709,-0.1161594938535709,10,20.0
PHI,SF,pass,right,deep,0.09108333333333334,0.3903755472035535,-0.29929221387022015,12,8.0
PIT,HOU,pass,left,short,0.000717948717948718,-0.3320761965219346,0.3327941452398833,39,48.0
PIT,HOU,pass,left,medium,-0.025454545454545455,0.4213065777887382,-0.44676112324328365,11,13.0
PIT,HOU,pass,left,deep,-0.03211111111111111,0.3348730880049204,-0.3669841991160315,9,12.0
PIT,HOU,pass,middle,short,-0.004411764705882353,0.2003521977458145,-0.20476396245169687,17,21.0
