off_team,lane,off_rush_share
,left_guard,
Rush Success Rate (by lane),left_guard,
Team,left_guard,Left Guard
ARI,left_guard,0.2857142857142857
ATL,left_guard,0.3461538461538461
BAL,left_guard,0.3846153846153846
BUF,left_guard,0.5
CAR,left_guard,0.7
CHI,left_guard,0.6153846153846154
CIN,left_guard,0.5
CLE,left_guard,0.25
DAL,left_guard,0.5909090909090909
DEN,left_guard,0.4761904761904761
DET,left_guard,0.5294117647058824
GB,left_guard,0.5625
HOU,left_guard,0.3888888888888889
IND,left_guard,0.5714285714285714
JAX,left_guard,0.5714285714285714
KC,left_guard,0.625
LA,left_guard,0.4
LAC,left_guard,0.3333333333333333
LV,left_guard,0.3888888888888889
MIA,left_guard,0.4375
MIN,left_guard,0.7272727272727273
NE,left_guard,0.3478260869565217
NO,left_guard,0.4482758620689655
NYG,left_guard,0.6296296296296297
NYJ,left_guard,0.6153846153846154
PHI,left_guard,0.1538461538461538
PIT,left_guard,0.5714285714285714
SEA,left_guard,0.36
SF,left_guard,0.4642857142857143
TB,left_guard,0.391304347826087
TEN,left_guard,0.3333333333333333
WAS,left_guard,0.64
,left_guard,
,left_guard,
Rush TDs (by lane),left_guard,
Team,left_guard,Left Guard
ARI,left_guard,0
ATL,left_guard,1
BAL,left_guard,0
BUF,left_guard,1
CAR,left_guard,1
CHI,left_guard,0
CIN,left_guard,0
CLE,left_guard,0
DAL,left_guard,1
DEN,left_guard,1
DET,left_guard,0
GB,left_guard,2
HOU,left_guard,0
IND,left_guard,1
JAX,left_guard,0
KC,left_guard,0
LA,left_guard,0
LAC,left_guard,0
LV,left_guard,1
MIA,left_guard,0
MIN,left_guard,1
NE,left_guard,1
NO,left_guard,1
NYG,left_guard,2
NYJ,left_guard,0
PHI,left_guard,0
PIT,left_guard,0
SEA,left_guard,1
SF,left_guard,1
TB,left_guard,0
TEN,left_guard,0
WAS,left_guard,1
ARI,center,27.2
ATL,center,11.6
BAL,center,13
BUF,center,26.6
CAR,center,37.2
CHI,center,20.1
CIN,center,34.6
CLE,center,30.8
DAL,center,20.5
DEN,center,18
DET,center,23
GB,center,29.4
HOU,center,23.3
IND,center,42.2
JAX,center,42.7
KC,center,20.9
LA,center,28.1
LAC,center,34.2
LV,center,26.8
MIA,center,21.5
MIN,center,20.3
NE,center,33.1
NO,center,29.1
NYG,center,31.6
NYJ,center,29.8
PHI,center,29
PIT,center,24.4
SEA,center,31.8
SF,center,28.8
TB,center,20.7
TEN,center,30.4
WAS,center,23.1
,center,
,center,
Yards per Carry (by lane),center,
Team,center,Middle
ARI,center,3.863636363636364
ATL,center,5.375
BAL,center,2.882352941176471
BUF,center,4.333333333333333
CAR,center,3.611111111111111
CHI,center,3.241379310344827
CIN,center,3.86046511627907
CLE,center,3.423076923076923
DAL,center,3.033333333333333
DEN,center,3.172413793103448
DET,center,5.272727272727272
GB,center,3.456521739130435
HOU,center,3.5625
IND,center,4.311688311688312
JAX,center,4.746268656716418
KC,center,3.787878787878788
LA,center,4.133333333333334
LAC,center,2.770833333333333
LV,center,1.704545454545455
MIA,center,3.423076923076923
MIN,center,3.76
NE,center,3.679245283018868
NO,center,2.58695652173913
NYG,center,3.711538461538462
NYJ,center,4.956521739130435
PHI,center,1.152173913043478
PIT,center,3.1875
SEA,center,3.295081967213115
SF,center,3.886792452830189
TB,center,3.851851851851852
TEN,center,3.947368421052631
WAS,center,5.15625
,center,
,center,
Rush Success Rate (by lane),center,
Team,center,Middle
ARI,center,0.4772727272727273
ATL,center,0.75
BAL,center,0.4705882352941176
BUF,center,0.6666666666666666
CAR,center,0.4583333333333333
CHI,center,0.4137931034482758
CIN,center,0.5348837209302325
CLE,center,0.5
DAL,center,0.5
DEN,center,0.4137931034482758
DET,center,0.5454545454545454
GB,center,0.5217391304347826
HOU,center,0.5
IND,center,0.5584415584415584
JAX,center,0.5223880597014925
KC,center,0.5757575757575758
