off_team,def_team,play_type,direction,gap_clean,lane_group,off_epa_per_rush,off_success_rate,def_success_allowed_proxy,edge_success_off_minus_defproxy,off_rush_attempts
NE,LAC,rush,right,,middle,-0.0008461538461538461,38.5,0.5833333333333334,37.916666666666664,13
LAC,NE,rush,left,,middle,0.015652173913043476,52.2,0.4528301886792453,51.74716981132076,23
LAC,NE,rush,left,,middle,-0.0176,20.0,0.4528301886792453,19.547169811320753,15
LAC,NE,rush,left,,middle,0.0074285714285714285,35.7,0.4528301886792453,35.24716981132076,14
LAC,NE,rush,middle,,middle,0.0003076923076923077,40.4,0.4528301886792453,39.947169811320755,52
LAC,NE,rush,right,,middle,0.05433333333333333,88.9,0.4528301886792453,88.44716981132076,9
LAC,NE,rush,right,,middle,-0.026266666666666667,26.7,0.4528301886792453,26.247169811320752,15
LAC,NE,rush,right,,middle,0.014916666666666667,54.2,0.4528301886792453,53.74716981132076,24
CHI,GB,rush,left,,middle,-0.0023333333333333335,48.1,0.5217391304347826,47.57826086956522,27
CHI,GB,rush,left,,middle,-0.011928571428571429,50.0,0.5217391304347826,49.47826086956522,14
CHI,GB,rush,left,,middle,-0.013555555555555555,27.8,0.5217391304347826,27.27826086956522,18
CHI,GB,rush,middle,,middle,-0.005606060606060606,33.3,0.5217391304347826,32.778260869565216,33
CHI,GB,rush,right,,middle,0.01288,56.0,0.5217391304347826,55.47826086956522,25
CHI,GB,rush,right,,middle,0.0032962962962962963,48.1,0.5217391304347826,47.57826086956522,27
CHI,GB,rush,right,,middle,0.01565,60.0,0.5217391304347826,59.47826086956522,20
GB,CHI,rush,left,,middle,0.003565217391304348,47.8,0.4137931034482758,47.38620689655172,23
GB,CHI,rush,left,,middle,0.006125,56.2,0.4137931034482758,55.786206896551725,16
GB,CHI,rush,left,,middle,0.014533333333333334,53.3,0.4137931034482758,52.88620689655172,15
GB,CHI,rush,middle,,middle,0.00082,46.0,0.4137931034482758,45.58620689655172,50
GB,CHI,rush,right,,middle,0.0028857142857142857,48.6,0.4137931034482758,48.186206896551724,35
GB,CHI,rush,right,,middle,0.010076923076923077,61.5,0.4137931034482758,61.08620689655172,13
GB,CHI,rush,right,,middle,-0.016555555555555556,27.8,0.4137931034482758,27.386206896551727,18
