def_team,lane,def_rush_share_allowed
SEA,left_guard,0.2857142857142857
SF,left_guard,0.35
TB,left_guard,0.3571428571428572
TEN,left_guard,0.4166666666666667
WAS,left_guard,0.3448275862068966
,left_guard,
,left_guard,
Rush TDs (by lane),left_guard,
Team,left_guard,Left Guard
ARI,left_guard,0
ATL,left_guard,0
BAL,left_guard,0
BUF,left_guard,3
CAR,left_guard,0
CHI,left_guard,1
CIN,left_guard,1
CLE,left_guard,0
DAL,left_guard,1
DEN,left_guard,1
DET,left_guard,1
GB,left_guard,0
HOU,left_guard,0
IND,left_guard,0
JAX,left_guard,0
KC,left_guard,0
LA,left_guard,0
LAC,left_guard,0
LV,left_guard,1
MIA,left_guard,1
MIN,left_guard,0
NE,left_guard,0
NO,left_guard,0
NYG,left_guard,0
NYJ,left_guard,1
PHI,left_guard,2
PIT,left_guard,0
SEA,left_guard,0
SF,left_guard,1
TB,left_guard,1
TEN,left_guard,1
WAS,left_guard,1
ARI,center,41
ATL,center,25.8
BAL,center,18.1
BUF,center,20.5
CAR,center,29.8
CHI,center,18.3
CIN,center,17.1
CLE,center,25.6
DAL,center,24.9
DEN,center,29.9
DET,center,27.2
GB,center,34.9
HOU,center,39.2
IND,center,33.1
JAX,center,45.1
KC,center,25.6
LA,center,28.9
LAC,center,30.3
LV,center,27.3
MIA,center,33.5
MIN,center,27.7
NE,center,25.7
NO,center,22.3
NYG,center,21.1
NYJ,center,18.5
PHI,center,21.5
PIT,center,26.6
SEA,center,28
SF,center,30.2
TB,center,31.2
TEN,center,27.2
WAS,center,24.4
,center,
,center,
Yards per Carry (by lane),center,
Team,center,Middle
ARI,center,3.515151515151515
ATL,center,5.435897435897436
BAL,center,2.866666666666667
BUF,center,4.424242424242424
CAR,center,5.133333333333334
CHI,center,3.321428571428572
CIN,center,4.205882352941177
CLE,center,3.833333333333333
DAL,center,4.96
DEN,center,3.7
DET,center,3.25
GB,center,3.288888888888889
HOU,center,4.410714285714286
IND,center,3.26530612244898
JAX,center,3.681159420289855
KC,center,4.05
LA,center,3.5
LAC,center,3.74
LV,center,5.063829787234043
MIA,center,4.376811594202898
MIN,center,3.478260869565217
NE,center,2.923076923076923
NO,center,5.466666666666667
NYG,center,4.257142857142857
NYJ,center,4.105263157894737
PHI,center,5.780487804878049
PIT,center,4.804878048780488
SEA,center,3.204545454545455
SF,center,3.076923076923077
TB,center,5.075471698113208
TEN,center,5.381818181818182
WAS,center,3.48936170212766
,center,
,center,
Rush Success Rate (by lane),center,
Team,center,Middle
ARI,center,0.4090909090909091
ATL,center,0.6153846153846154
BAL,center,0.5
BUF,center,0.4545454545454545
CAR,center,0.4222222222222222
CHI,center,0.2857142857142857
CIN,center,0.4411764705882353
CLE,center,0.2857142857142857
DAL,center,0.5
DEN,center,0.46
DET,center,0.35
GB,center,0.4
HOU,center,0.4107142857142857
IND,center,0.5510204081632653
JAX,center,0.3623188405797101
KC,center,0.55
LA,center,0.4444444444444444
LAC,center,0.42
LV,center,0.425531914893617
MIA,center,0.5072463768115942
MIN,center,0.391304347826087
NE,center,0.3846153846153846
NO,center,0.4444444444444444
NYG,center,0.3714285714285714
NYJ,center,0.3421052631578947
PHI,center,0.7317073170731707
PIT,center,0.4146341463414634
SEA,center,0.3409090909090909
SF,center,0.4615384615384616
TB,center,0.4716981132075472
TEN,center,0.4545454545454545
WAS,center,0.3191489361702128
,center,
,center,
Rush TDs (by lane),center,
Team,center,Middle
ARI,center,2
ATL,center,1
BAL,center,5
BUF,center,1
CAR,center,1
CHI,center,1
CIN,center,3
CLE,center,1
DAL,center,1
DEN,center,2
DET,center,1
GB,center,2
HOU,center,2
IND,center,1
JAX,center,1
KC,center,2
LA,center,2
LAC,center,2
LV,center,4
MIA,center,2
MIN,center,0
